"month","media","checkouts"
2020-12-01,MUSICSNDREC,3
2020-12-01,NOTATEDMUSIC,2
2020-12-01,PICTURE,1
2020-12-01,REGPRINT,802
2020-12-01,"REGPRINT, SOUNDDISC",3
2020-12-01,"REGPRINT, VIDEOREC",1
2020-12-01,"SOUNDCASS, SOUNDDISC, SOUNDREC",1
2020-12-01,"SOUNDCASS, SOUNDDISC, VIDEOCASS, VIDEODISC",1
2020-12-01,SOUNDDISC,10637
2020-12-01,"SOUNDDISC, SOUNDREC",1
2020-12-01,"SOUNDDISC, VIDEOCASS",1
2020-12-01,"SOUNDDISC, VIDEODISC",126
2020-12-01,SOUNDREC,40
2020-12-01,UNSPECIFIED,3
2020-12-01,VIDEO,119
2020-12-01,VIDEODISC,31138
2020-12-01,VIDEOREC,4
2020-12-01,VISUAL,9
2020-11-01,ATLAS,9
2020-11-01,AUDIOBOOK,124107
2020-11-01,BOOK,91158
2020-11-01,CR,18
2020-11-01,EBOOK,235396
2020-11-01,ER,45
2020-11-01,"ER, NONPROJGRAPH",1
2020-11-01,"ER, SOUNDDISC",7
2020-11-01,"ER, VIDEODISC",10
2020-11-01,"FLASHCARD, SOUNDDISC",1
2020-11-01,KIT,1
2020-11-01,LARGEPRINT,91
2020-11-01,MAP,16
2020-11-01,MIXED,301
2020-11-01,MUSIC,213
2020-11-01,MUSICSNDREC,2
2020-11-01,REGPRINT,563
2020-11-01,"REGPRINT, SOUNDDISC",4
2020-11-01,SOUNDCASS,3
2020-11-01,SOUNDDISC,7875
2020-11-01,"SOUNDDISC, SOUNDREC",2
2020-11-01,"SOUNDDISC, VIDEOCASS",1
2020-11-01,"SOUNDDISC, VIDEODISC",66
2020-11-01,SOUNDREC,28
2020-11-01,UNSPECIFIED,6
2020-11-01,VIDEO,120
2020-11-01,VIDEODISC,20431
2020-11-01,VIDEOREC,3
2020-11-01,VISUAL,3
2020-10-01,ATLAS,19
2020-10-01,AUDIOBOOK,126474
2020-10-01,BOOK,90449
2020-10-01,CR,23
2020-10-01,EBOOK,236815
2020-10-01,ER,69
2020-10-01,"ER, SOUNDDISC",11
2020-10-01,"ER, VIDEODISC",18
2020-10-01,KIT,1
2020-10-01,LARGEPRINT,59
2020-10-01,MAP,21
2020-10-01,MICROFORM,1
2020-10-01,MIXED,287
2020-10-01,MUSIC,176
2020-10-01,MUSICSNDREC,3
2020-10-01,NOTATEDMUSIC,2
2020-10-01,REGPRINT,537
2020-10-01,"REGPRINT, SOUNDDISC",1
2020-10-01,"REGPRINT, VIDEOREC",1
2020-10-01,SOUNDDISC,8235
2020-10-01,"SOUNDDISC, VIDEODISC",81
2020-10-01,SOUNDREC,34
2020-10-01,UNSPECIFIED,5
2020-10-01,VIDEO,163
2020-10-01,VIDEOCART,1
2020-10-01,VIDEODISC,18152
2020-10-01,VIDEOREC,2
2020-10-01,VISUAL,6
2020-09-01,ATLAS,14
2020-09-01,AUDIOBOOK,126287
2020-09-01,BOOK,64693
2020-09-01,CR,12
2020-09-01,EBOOK,242337
2020-09-01,ER,62
2020-09-01,"ER, PRINT",1
2020-09-01,"ER, SOUNDDISC",21
2020-09-01,"ER, VIDEODISC",16
2020-09-01,LARGEPRINT,36
2020-09-01,MAP,8
2020-09-01,MIXED,132
2020-09-01,MUSIC,131
2020-09-01,MUSICSNDREC,1
2020-09-01,REGPRINT,330
2020-09-01,"REGPRINT, SOUNDDISC",2
2020-09-01,SOUNDDISC,6330
2020-09-01,"SOUNDDISC, VIDEODISC",49
2020-09-01,SOUNDREC,25
2020-09-01,UNSPECIFIED,3
2020-09-01,VIDEO,245
2020-09-01,VIDEODISC,14705
2020-09-01,VIDEOREC,2
2020-09-01,VISUAL,3
2020-08-01,AUDIOBOOK,133891
2020-08-01,BOOK,8223
2020-08-01,CR,3
2020-08-01,EBOOK,253472
2020-08-01,ER,11
2020-08-01,"ER, SOUNDDISC",2
2020-08-01,"ER, VIDEODISC",4
2020-08-01,LARGEPRINT,2
2020-08-01,MAP,2
2020-08-01,MIXED,31
2020-08-01,MUSIC,17
2020-08-01,REGPRINT,32
2020-08-01,"REGPRINT, SOUNDDISC",1
2020-08-01,SOUNDDISC,1154
2020-08-01,"SOUNDDISC, VIDEODISC",10
2020-08-01,SOUNDREC,2
2020-08-01,UNSPECIFIED,1
2020-08-01,VIDEO,197
2020-08-01,VIDEODISC,3374
2020-08-01,VISUAL,1
2020-07-01,AUDIOBOOK,133158
2020-07-01,BOOK,51
2020-07-01,EBOOK,251358
2020-07-01,MIXED,35
2020-07-01,SOUNDDISC,2
2020-07-01,VIDEO,178
2020-07-01,VIDEODISC,12
2020-06-01,AUDIOBOOK,133182
2020-06-01,BOOK,43
2020-06-01,EBOOK,247083
2020-06-01,MIXED,9
2020-06-01,MUSIC,1
2020-06-01,VIDEO,236
2020-06-01,VIDEODISC,4
2020-05-01,AUDIOBOOK,128186
2020-05-01,BOOK,87
2020-05-01,EBOOK,255744
2020-05-01,MIXED,14
